央视,#genre#
CCTV_1,http://112.46.85.60:8009/hls/501/index.m3u8
CCTV_2,http://112.46.85.60:8009/hls/502/index.m3u8
CCTV_3,http://112.46.85.60:8009/hls/3/index.m3u8
CCTV_4,http://112.46.85.60:8009/hls/4/index.m3u8
CCTV_5,http://112.46.85.60:8009/hls/503/index.m3u8
CCTV5+,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221225603/index.m3u8
CCTV_6,http://112.46.85.60:8009/hls/6/index.m3u8
CCTV_7,http://112.46.85.60:8009/hls/504/index.m3u8
CCTV_8,http://112.46.85.60:8009/hls/8/index.m3u8
CCTV_9,http://112.46.85.60:8009/hls/509/index.m3u8
CCTV_10,http://112.46.85.60:8009/hls/506/index.m3u8
CCTV_11,http://112.46.85.60:8009/hls/11/index.m3u8
CCTV_12,http://112.46.85.60:8009/hls/507/index.m3u8
CCTV_13,http://112.46.85.60:8009/hls/13/index.m3u8
CCTV_14,http://112.46.85.60:8009/hls/14/index.m3u8
CCTV_15,http://112.46.85.60:8009/hls/15/index.m3u8

CCTV_4K,https://liveop.cctv.cn/hls/4KHD/playlist.m3u8
